Campaign;Campaign ID;Campaign type;Currency code;Age;Gender;Clicks;Impr.;Cost
Ahmad Tea Nov 2025 (YT) - VVC;23247653498;In-stream video;EUR;35 - 44;Male;83;199,948;452.03
Ahmad Tea Jan - Feb 2025 (YT) - VVC;22132274384;In-stream video;EUR;25 - 34;Female;78;176,024;271.26
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Trueview;22643359196;In-stream video;EUR;45 - 54;Female;78;89,670;180.45
Loacker Sep - Oct 2025 (YT) - VVC - CPV;23016634492;In-stream video;EUR;45 - 54;Male;77;147,149;284.55
T03_001444_HR_EBD_BodyVariousProducts(ECN)_AW_Jan25_Feb25_fullf_OMD_DigGR_na;22186470409;In-stream video;EUR;25 - 34;Male;74;63,532;177.17
T03_001444_HR_EBD_BodyVariousProducts(ECN)_AW_Jan25_Feb25_fullf_OMD_DigGR_na;22186470409;In-stream video;EUR;35 - 44;Male;71;57,615;164.13
Loacker Sep - Oct 2025 (YT) - VVC - CPV;23016634492;In-stream video;EUR;25 - 34;Male;70;134,545;283.93
Ahmad Tea Nov 2025 (YT) - VVC;23247653498;In-stream video;EUR;25 - 34;Female;70;206,981;486.38
Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC;22480010801;Demand Gen;EUR;35 - 44;Unknown;66;5,509;2.13
Ahmad Tea Nov 2025 (YT) - VVC;23247653498;In-stream video;EUR;35 - 44;Female;66;216,324;475.43
Ahmad Tea Nov 2025 (YT) - VVC;23247653498;In-stream video;EUR;45 - 54;Male;66;196,747;429.76
Ahmad Tea Jan - Feb 2025 (YT) - VVC;22132274384;In-stream video;EUR;45 - 54;Female;65;218,243;316.95
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;25 - 34;Female;62;90,910;22.38
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Male;23023240784;Display;EUR;25 - 34;Male;60;104,500;25.58
Loacker Jan - Feb 2025 (YT) - VVC - CPV;22162135107;In-stream video;EUR;35 - 44;Male;60;106,932;174.52
T03_001444_HR_EBD_BodyVariousProducts(ECN)_AW_Jan25_Feb25_fullf_OMD_DigGR_na;22186470409;In-stream video;EUR;45 - 54;Male;59;49,792;137.84
Loacker Apr - May 2025 (YT) - VVC - CPV;22460487259;In-stream video;EUR;35 - 44;Male;54;75,079;171.52
