Campaign;Campaign ID;Avg. impr. freq. / user;Unique users
McDonald's Pistachio Desert II June - August 2025 (YT) - Bumper;22710122542;2;962,737
202505//Schauma//Schauma_CAR Long Hair B 25//Schauma_CAR Long Hair B 25//video//Bumper;22524522930;3.1;1,147,700
T03_001642_HR_NFC_Luminous630Glow_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;22647377695;4.3;691,618
McDonald's Coffee AO Sep - Dec 2025 (YT) - Bumper;23061447079;1.2;48,247
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;1;6,120,917
McDonald's Employer Image III - Young Adults - Aug - Sep 2025 (VVC) - CPV;22931314702;3.4;327,549
Nissan QQ Sep - Oct 2025 - Performance Max;23021710473;;
McDonald's Zapošljavanje Zabok Aug - Sep 2025 (Perfomance Max) - CPA;22915596195;;
McDonald's Srijeda koja vrijedi više AO Sep - Oct (YT) - CPV;23062023805;1.2;55,289
Zott Monte May - Jul 2025 (YT) - TrueView - CPV;22548433632;3.1;416,976
T03_001487_HR_NME_MensCareVariousProducts_AW_Jun25_Aug25_fullf_OMD_DigGR_Shorts;22710781375;4.4;472,098
McDonald's Breakfast AO Sep - Dec 2025 (YT) - Bumper;23051177880;1.1;30,148
Zott Monte Aug - Sep 2025 (YT) - TrueView - CPV;22946567491;4.1;416,603
McDonald's MOP Sep - Nov 2025 (YT) - Bumper;23038275832;1.4;273,616
