Ad format,Campaign,Campaign ID,Avg. impr. freq. / user,Unique users
Bumper,VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11.,23140105375,2.2,302434.0
Shorts,VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11.,23140105375,3.1,191306.0
In-feed,DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11,23140104916,2.8,179555.0
Skippable in-stream,VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025,23136085091,1.6,144414.0
In-feed,VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025,23136085091,2.8,342414.0
Bumper,VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025,23136085091,2.3,369194.0
Shorts,VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025,23136085091,3.4,245107.0
In-feed,DG_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025,23136083489,2.4,279446.0
In-feed,McDonald's McNuggets III Oct - Nov 2025 (YT) - Bumper,23128436618,1.6,473053.0
Bumper,McDonald's McNuggets III Oct - Nov 2025 (YT) - Bumper,23128436618,1.7,395635.0
Skippable in-stream,McDonald's McNuggets III Oct - Nov 2025 (YT) - CPV,23128434905,1.9,352852.0
Skippable in-stream,vizols_october_2025_youtube_cpm,23121024417,3.2,787591.0
Shorts,vizols_october_2025_youtube_cpm,23121024417,6.8,377254.0
In-feed,McDonald's Snack Menu AO Oct - Nov 2025 (YT) - Bumper,23117041842,1.7,556221.0
Bumper,McDonald's Snack Menu AO Oct - Nov 2025 (YT) - Bumper,23117041842,2.0,547901.0
Skippable in-stream,McDonald's Snack Menu AO Oct - Nov 2025 (YT) - CPV,23117039682,1.9,289878.0
Skippable in-stream,McDonald's Snack Menu App Exclusive Oct - Dec 2025 (YT) - CPV,23084947105,2.7,444972.0
In-feed,McDonald's Trust II October 2025 (YT) - Bumper,23084692753,1.8,575440.0
