Ad format	Campaign	Campaign ID	Clicks	Impr.	CTR	Avg. CPC	Avg. CPM	TrueView views	TrueView avg. CPV	Conversions	Cost / conv.	Conv. rate	Cost
In-feed	McDonald's Happy Meal Squiishmallows June 2025 - Bumper	22632870437	8	346,333	0.00%	16.97	0.39	9,837	0.01	49.2	2.76	0.44%	135.8
Bumper	McDonald's Happy Meal Squiishmallows June 2025 - Bumper	22632870437	665	476,479	0.14%	1.3	1.81	0	0.0	232.26	3.72	34.93%	863.81
Skippable in-stream	McDonald's Grimace Exclusive June 2025 (YT) - CPV	22623078690	259	239,198	0.11%	3.34	3.62	155,213	0.01	179.94	4.81	0.10%	865.34
Skippable in-stream	McDonald's Coffee Monday AO May - Jun 2025 (YT) - CPV	22615794446	1,218	709,548	0.17%	2.05	3.52	405,649	0.01	1,001.08	2.5	0.22%	2499.22
In-feed	DG_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_CRM_Newsletter_27.5.-16.6.2025.	22605732707	33,027	2,353,059	1.40%	0.04	0.53	0	0.0	0	0.0	0.00%	1236.78
Shorts	DG_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_CRM_Newsletter_27.5.-16.6.2025.	22605732707	321	82,127	0.39%	0.04	0.16	0	0.0	0	0.0	0.00%	12.87
In-feed	McDonald's Breakfast Mushrooms May - Sep 2025. - Bumper	22604502871	4	198,199	0.00%	14.42	0.29	3,816	0.02	2.74	21.01	0.06%	57.67
Bumper	McDonald's Breakfast Mushrooms May - Sep 2025. - Bumper	22604502871	185	224,934	0.08%	1.5	1.24	0	0.0	61.56	4.52	33.28%	278.3
Skippable in-stream	McDonald's McCrispy AO May-Jun 2025 (YT) - CPV	22600968923	1,002	961,920	0.10%	3.49	3.64	628,699	0.01	935.7	3.74	0.13%	3500.41
In-feed	McDonald's McCrispy AO May-Jun 2025 (YT) - Bumper	22600899041	31	1,319,481	0.00%	7.66	0.18	11,561	0.02	48.18	4.93	0.34%	237.54
Bumper	McDonald's McCrispy AO May-Jun 2025 (YT) - Bumper	22600899041	1,687	1,669,961	0.10%	1.04	1.06	0	0.0	646.7	2.73	38.33%	1762.49
Skippable in-stream	McDonald's Breakfast Mushrooms May - Sep 2025. - CPV	22600788851	83	116,860	0.07%	5.06	3.6	83,139	0.01	72.33	5.81	0.08%	420.26
Skippable in-stream	Zott Hungry May - Jul 2025 (YT) - Reach Mix	22588201807	776	1,437,702	0.05%	4.52	2.44	477,257	0.01	0	0.0	0.00%	3511.13
In-feed	Zott Hungry May - Jul 2025 (YT) - Reach Mix	22588201807	12	464,383	0.00%	17.28	0.45	10,104	0.02	0	0.0	0.00%	207.32
Bumper	Zott Hungry May - Jul 2025 (YT) - Reach Mix	22588201807	4,952	2,715,585	0.18%	0.8	1.46	0	0.0	0	0.0	0.00%	3970.75
Shorts	Zott Hungry May - Jul 2025 (YT) - Reach Mix	22588201807	565	389,192	0.15%	0.54	0.79	7,497	0.04	0	0.0	0.00%	306.88
Skippable in-stream	McDonald's Employer Image II May - June 2025 - (YT) - VVC - CPV	22586420394	13,636	2,547,437	0.54%	0.65	3.49	1,095,130	0.01	9,792.98	0.91	0.78%	8882.69
Shorts	McDonald's Employer Image II May - June 2025 - (YT) - VVC - CPV	22586420394	415	171,151	0.24%	0.28	0.68	5,673	0.02	162.4	0.71	1.67%	115.64
Skippable in-stream	McDonald's Happy Meal May-Jun 2025 (YT) -CPV	22578284536	534	432,581	0.12%	2.81	3.47	266,570	0.01	470.26	3.19	0.17%	1499.35
Skippable in-stream	McDonald's 1+1 May-Aug 2025 (YT) - CPV	22577682633	1,683	1,682,772	0.10%	2.97	2.97	1,174,634	0.0	794.76	6.29	0.06%	5001.46
In-feed	McDonald's 1+1 May-Aug 2025 (YT) - Bumper	22577658432	42	1,552,660	0.00%	10.13	0.27	31,285	0.01	115.32	3.69	0.32%	425.52
Bumper	McDonald's 1+1 May-Aug 2025 (YT) - Bumper	22577658432	2,024	1,753,372	0.12%	1.03	1.18	0	0.0	329.63	6.3	16.29%	2076.38
Skippable in-stream	McDonald's Employer Image II May - June 2025 Demand Gen - CPA	22575094499	431	9,539	4.52%	0.03	1.42	1,065	0.01	172.12	0.08	7.71%	13.53
In-feed	McDonald's Employer Image II May - June 2025 Demand Gen - CPA	22575094499	53,380	3,117,777	1.71%	0.03	0.51	277	1.91	24,225.90	0.07	29.12%	1600.84
Shorts	McDonald's Employer Image II May - June 2025 Demand Gen - CPA	22575094499	3,238	465,599	0.70%	0.03	0.19	7,279	0.01	2,370.85	0.04	14.37%	86.58
In-feed	McDonald's Happy Meal May-Jun 2025 (YT) -Bumper	22574478389	5	303,718	0.00%	22.66	0.37	5,977	0.02	16.8	6.75	0.24%	113.3
Bumper	McDonald's Happy Meal May-Jun 2025 (YT) -Bumper	22574478389	511	372,668	0.14%	1.34	1.84	0	0.0	152.99	4.49	29.94%	686.61
Bumper	Zott Monte May - Jul 2025 (YT) - Bumper - CPM	22554802796	2,224	1,489,958	0.15%	1.12	1.68	0	0.0	0	0.0	0.00%	2496.35
Shorts	Zott Monte May - Jul 2025 (YT) - Bumper - CPM	22554802796	1,400	727,796	0.19%	0.36	0.69	21,033	0.02	0	0.0	0.00%	503.99
Skippable in-stream	Zott Monte May - Jul 2025 (YT) - TrueView - CPV	22548433632	6,210	2,249,296	0.28%	1.05	2.89	1,342,236	0.0	0	0.0	0.00%	6490.42
In-feed	Zott Monte May - Jul 2025 (YT) - TrueView - CPV	22548433632	13	207,370	0.01%	8.07	0.51	11,632	0.01	0	0.0	0.00%	104.95
Shorts	Zott Monte May - Jul 2025 (YT) - TrueView - CPV	22548433632	955	277,599	0.34%	0.16	0.56	12,604	0.01	0	0.0	0.00%	155.0
In-feed	DG_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.05.-30.06.2025	22545560319	53,944	3,052,895	1.77%	0.03	0.52	0	0.0	570.8	2.79	1.06%	1594.61
Shorts	DG_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.05.-30.06.2025	22545560319	1,842	380,560	0.48%	0.03	0.15	0	0.0	25.68	2.16	1.39%	55.4
Skippable in-stream	VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.05.-30.06.2025	22545555255	2,675	1,339,446	0.20%	0.71	1.42	384,462	0.0	173.29	10.95	0.03%	1898.24
In-feed	VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.05.-30.06.2025	22545555255	11	579,207	0.00%	11.33	0.22	12,921	0.01	16.53	7.54	0.06%	124.61
Shorts	VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.05.-30.06.2025	22545555255	696	679,770	0.10%	0.4	0.41	7,384	0.04	36	7.73	0.19%	278.33
In-feed	McDonald's Coffee Monday AO May - Jun 2025 (YT) - Bumper	22540460607	33	821,688	0.00%	15.92	0.64	23,020	0.02	47.93	10.96	0.18%	525.37
Bumper	McDonald's Coffee Monday AO May - Jun 2025 (YT) - Bumper	22540460607	969	551,146	0.18%	1.01	1.77	0	0.0	345.5	2.82	35.66%	974.08
Skippable in-stream	McDonald's Srijeda koja vrijedi više AO May-Jun 2025 (YT) - CPV	22540452712	1,472	823,563	0.18%	2.04	3.64	502,506	0.01	1,306.36	2.3	0.23%	2999.16
In-feed	McDonald's Srijeda koja vrijedi više AO May-Jun 2025 (YT) - Bumper	22530427806	144	2,546,701	0.01%	6.96	0.39	42,912	0.02	244.6	4.1	0.48%	1002.6
Bumper	McDonald's Srijeda koja vrijedi više AO May-Jun 2025 (YT) - Bumper	22530427806	485	407,061	0.12%	1.02	1.22	0	0.0	148.58	3.34	30.64%	496.97
Skippable in-stream	VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025.	22519829013	50	57,406	0.09%	2.06	1.79	20,624	0.0	5	20.58	0.02%	102.9
In-feed	VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025.	22519829013	16	402,307	0.00%	6.56	0.26	8,654	0.01	14.86	7.06	0.13%	104.91
Bumper	VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025.	22519829013	794	840,039	0.09%	1.45	1.37	0	0.0	15.22	75.81	1.92%	1153.54
Shorts	VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025.	22519829013	481	301,420	0.16%	0.26	0.42	4,101	0.03	53.01	2.37	0.56%	125.59
In-feed	McDonald's Trust I May 2025 (YT) - Bumper	22518745594	29	809,552	0.00%	6.28	0.22	8,603	0.02	32	5.69	0.31%	182.03
Bumper	McDonald's Trust I May 2025 (YT) - Bumper	22518745594	1,301	1,154,761	0.11%	1.01	1.14	0	0.0	509.06	2.59	39.13%	1317.92
Skippable in-stream	McDonald's Breakfast Mushrooms May 2025 - CPV	22515688781	548	413,028	0.13%	2.73	3.63	271,953	0.01	600.68	2.49	0.20%	1498.18
In-feed	McDonald's Breakfast Mushrooms May 2025 - Bumper	22515626597	10	356,222	0.00%	8.91	0.25	4,409	0.02	32	2.78	0.60%	89.11
Bumper	McDonald's Breakfast Mushrooms May 2025 - Bumper	22515626597	686	529,220	0.13%	1.01	1.31	0	0.0	281.27	2.46	41.00%	690.84
Skippable in-stream	McDonald's Trust I May 2025 (YT) - CPV	22515310217	972	920,530	0.11%	3.6	3.8	619,240	0.01	967.39	3.62	0.14%	3499.24
In-feed	VID_OMD_HR-HR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_5.5.-4.7.	22514122692	4	208,977	0.00%	23.4	0.45	10,592	0.01	8	11.7	0.06%	93.6
Bumper	VID_OMD_HR-HR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_5.5.-4.7.	22514122692	1,325	1,229,141	0.11%	1.17	1.26	0	0.0	31.61	48.92	2.39%	1546.24
Shorts	VID_OMD_HR-HR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_5.5.-4.7.	22514122692	913	923,900	0.10%	0.61	0.61	16,026	0.04	73.74	7.61	0.35%	561.16
In-feed	DG_OMD_HR-HR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_5.5.-4.7.	22514121090	71,942	4,215,651	1.71%	0.03	0.51	0	0.0	1,014.80	2.11	1.41%	2141.89
Shorts	DG_OMD_HR-HR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_5.5.-4.7.	22514121090	1,976	369,089	0.54%	0.03	0.16	0	0.0	27.12	2.14	1.37%	58.09
Skippable in-stream	Zott Jogobella May - Jun 2025 (YT) - TrueView - CPV	22503681316	290	767,213	0.04%	7.86	2.97	573,761	0.0	0	0.0	0.00%	2278.4
In-feed	Zott Jogobella May - Jun 2025 (YT) - TrueView - CPV	22503681316	26	467,889	0.01%	8.53	0.47	28,919	0.01	0	0.0	0.00%	221.78
In-feed	McDonald's McDelivery May - June AO 2025 (YT) - Bumper	22503142066	15	402,171	0.00%	9.43	0.35	8,453	0.02	18.5	7.65	0.19%	141.5
Bumper	McDonald's McDelivery May - June AO 2025 (YT) - Bumper	22503142066	601	521,101	0.12%	1.43	1.65	0	0.0	12.1	70.98	2.01%	859.19
Skippable in-stream	McDonald's McDelivery May - June AO 2025 (YT) - CPV	22503135265	494	442,653	0.11%	3.04	3.39	277,233	0.01	652.96	2.3	0.21%	1500.61
Bumper	Zott Jogobella May - Jun 2025 (YT) - Bumper - CPM	22500190544	1,024	1,078,038	0.09%	1.47	1.39	0	0.0	0	0.0	0.00%	1500.24
Skippable in-stream	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_1.5.-30.6.	22499484667	206	273,485	0.08%	1.96	1.47	102,074	0.0	29.14	13.83	0.02%	403.11
In-feed	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_1.5.-30.6.	22499484667	24	568,656	0.00%	6.83	0.29	18,572	0.01	17.5	9.37	0.06%	163.99
Bumper	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_1.5.-30.6.	22499484667	1,430	1,253,609	0.11%	1.12	1.28	0	0.0	28.94	55.45	2.02%	1604.46
Shorts	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_1.5.-30.6.	22499484667	1,361	686,286	0.20%	0.24	0.48	18,959	0.02	97.92	3.37	0.42%	329.89
In-feed	DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_1.5.-30.6.	22499326504	49,236	3,091,588	1.59%	0.03	0.48	0	0.0	1,445.03	1.03	2.93%	1488.35
Shorts	DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_1.5.-30.6.	22499326504	4,584	833,481	0.55%	0.03	0.16	0	0.0	135.77	1.01	2.96%	136.66
In-feed	McDonald's 1+1 Apr-May 2025 (YT) - Bumper	22491848552	65	1,334,709	0.00%	5.04	0.25	15,004	0.02	183.06	1.79	1.02%	327.55
Bumper	McDonald's 1+1 Apr-May 2025 (YT) - Bumper	22491848552	2,145	1,898,556	0.11%	1.01	1.14	0	0.0	836.26	2.6	38.99%	2172.55
Skippable in-stream	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Teens_1.5.-15.6.	22489151010	91	86,270	0.11%	2.15	2.27	26,569	0.01	0	0.0	0.00%	195.86
In-feed	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Teens_1.5.-15.6.	22489151010	18	321,607	0.01%	6.94	0.39	6,673	0.02	0	0.0	0.00%	124.95
Bumper	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Teens_1.5.-15.6.	22489151010	1,108	508,494	0.22%	0.72	1.57	0	0.0	3	266.22	0.27%	798.65
Shorts	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Teens_1.5.-15.6.	22489151010	149	122,635	0.12%	0.55	0.66	1,212	0.07	2	40.69	0.07%	81.38
Skippable in-stream	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Parents_1.5.-15.6.	22489118778	1,252	416,282	0.30%	0.58	1.75	115,637	0.01	79.59	9.16	0.05%	729.03
In-feed	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Parents_1.5.-15.6.	22489118778	13	267,205	0.00%	5.5	0.27	2,351	0.03	3.04	23.54	0.09%	71.46
Skippable in-stream	McDonald's 1+1 Apr-May 2025 (YT) - CPV	22485305991	1,573	1,448,890	0.11%	3.18	3.45	951,215	0.01	1,446.64	3.46	0.14%	4999.71
Skippable in-stream	VID_OMD_HR-HR_MCC_MCCUnd_MCCUnd_MCCUnd_NA_GOO_BRD_Vera_18.4.-15.6.2025.	22460577070	1,499	1,044,426	0.14%	0.99	1.41	326,768	0.0	177.01	8.34	0.04%	1477.09
In-feed	VID_OMD_HR-HR_MCC_MCCUnd_MCCUnd_MCCUnd_NA_GOO_BRD_Vera_18.4.-15.6.2025.	22460577070	17	587,448	0.00%	7.21	0.21	6,220	0.02	5	24.53	0.05%	122.65
In-feed	McDonald's Maestro II April - June 2025 (YT) - Bumper	22456877969	70	1,663,450	0.00%	5.33	0.22	21,756	0.02	133.32	2.8	0.36%	372.95
Bumper	McDonald's Maestro II April - June 2025 (YT) - Bumper	22456877969	2,089	2,481,247	0.08%	1.26	1.06	0	0.0	610.92	4.3	29.24%	2627.45
Skippable in-stream	McDonald's Maestro II April - June 2025 (YT) - CPV	22455850267	1,823	1,440,054	0.13%	2.74	3.47	897,319	0.01	1,208.00	4.14	0.12%	4998.66
Skippable in-stream	McDonald's McCrispy II April - May 2025 (YT) - CPV	22455842356	1,420	1,122,354	0.13%	2.68	3.39	690,884	0.01	1,143.02	3.32	0.15%	3800.01
Skippable in-stream	DG_OMD_HR-HR_GB_OG_GroomingUndiv_GroomingUndivided_NA_GOO_BRD_Multigroom_20.4.-15.6.	22453368902	2,643	77,867	3.39%	0.04	1.32	9,361	0.01	21.28	4.83	0.12%	102.85
In-feed	DG_OMD_HR-HR_GB_OG_GroomingUndiv_GroomingUndivided_NA_GOO_BRD_Multigroom_20.4.-15.6.	22453368902	51,418	2,878,526	1.79%	0.03	0.6	137	2.81	845.95	2.04	1.21%	1728.11
Shorts	DG_OMD_HR-HR_GB_OG_GroomingUndiv_GroomingUndivided_NA_GOO_BRD_Multigroom_20.4.-15.6.	22453368902	538	105,365	0.51%	0.04	0.18	653	0.02	19.84	0.96	1.08%	19.06
In-feed	McDonald's McDelivery Wolt Apr - May 2025 (YT) - Bumper	22452503269	15	299,614	0.01%	7.97	0.4	6,659	0.02	1	119.52	0.01%	119.52
Bumper	McDonald's McDelivery Wolt Apr - May 2025 (YT) - Bumper	22452503269	517	411,027	0.13%	1.32	1.66	0	0.0	258.29	2.63	49.96%	680.49
In-feed	McDonald's McCrispy II April - May 2025 (YT) - Bumper	22452364523	43	1,104,768	0.00%	5.59	0.22	12,470	0.02	40.83	5.89	0.27%	240.49
Bumper	McDonald's McCrispy II April - May 2025 (YT) - Bumper	22452364523	1,283	1,770,569	0.07%	1.37	0.99	0	0.0	387.57	4.54	30.21%	1759.43
In-feed	DG_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025.	22449188365	55,346	2,735,141	2.02%	0.03	0.63	0	0.0	0	0.0	0.00%	1720.17
Shorts	DG_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025.	22449188365	849	167,729	0.51%	0.04	0.18	0	0.0	0	0.0	0.00%	29.83
Skippable in-stream	VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025._2	22445866454	522	407,850	0.13%	1.54	1.97	389,424	0.0	79.07	10.14	0.02%	802.07
In-feed	VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025._2	22445866454	0	6,232	0.00%	0.0	0.78	147	0.03	0	0.0	0.00%	4.87
Skippable in-stream	McDonald's McDelivery Wolt Apr - May 2025 (YT) - CPV	22442535963	3,112	673,214	0.46%	0.39	1.78	631,049	0.0	1,479.19	0.81	0.23%	1199.9
In-feed	McDonald's McDelivery Apr - May 2025 (YT) - Bumper	22433488221	47	688,087	0.01%	6.12	0.42	15,378	0.02	44	6.54	0.24%	287.61
Bumper	McDonald's McDelivery Apr - May 2025 (YT) - Bumper	22433488221	1,333	1,066,833	0.12%	1.28	1.6	0	0.0	41.57	41.18	3.12%	1711.74
Skippable in-stream	McDonald's McDelivery Apr - May 2025 (YT) - CPV	22433452242	1,833	1,225,238	0.15%	2.18	3.26	746,507	0.01	834.18	4.79	0.10%	3997.74
Bumper	Zott Protein Apr - Jun 2025 (YT) - Bumper - CPM	22432580057	1,867	1,672,455	0.11%	1.23	1.37	0	0.0	0	0.0	0.00%	2292.86
Shorts	Zott Protein Apr - Jun 2025 (YT) - Bumper - CPM	22432580057	432	323,970	0.13%	0.48	0.64	13,682	0.02	0	0.0	0.00%	207.86
Skippable in-stream	Zott Protein Apr - Jun 2025 (YT) - Trueview - CPV	22432560440	1,422	2,089,676	0.07%	3.95	2.69	1,542,026	0.0	0	0.0	0.00%	5621.34
In-feed	Zott Protein Apr - Jun 2025 (YT) - Trueview - CPV	22432560440	28	690,141	0.00%	12.81	0.52	49,761	0.01	0	0.0	0.00%	358.78
Shorts	Zott Protein Apr - Jun 2025 (YT) - Trueview - CPV	22432560440	1,447	430,982	0.34%	0.15	0.51	16,617	0.01	0	0.0	0.00%	221.1
Skippable in-stream	VID_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025	22429388089	196	907,852	0.02%	3.44	0.74	341,423	0.0	11	61.34	0.00%	674.79
In-feed	VID_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025	22429388089	198	2,010,647	0.01%	1.98	0.2	47,214	0.01	29	13.53	0.04%	392.45
Bumper	VID_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025	22429388089	4,032	2,399,737	0.17%	0.24	0.41	0	0.0	28.03	34.95	0.70%	979.62
Shorts	VID_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025	22429388089	579	276,783	0.21%	0.18	0.38	4,863	0.02	27	3.87	0.33%	104.57
In-feed	DG_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025	22425862319	121,196	3,413,475	3.55%	0.01	0.3	0	0.0	0	0.0	0.00%	1020.85
Shorts	DG_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025	22425862319	5,052	492,667	1.03%	0.01	0.1	0	0.0	0	0.0	0.00%	47.18
In-feed	DG_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025.	22425796232	44,639	2,149,651	2.08%	0.03	0.67	0	0.0	0	0.0	0.00%	1445.65
Shorts	DG_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025.	22425796232	1,736	339,862	0.51%	0.03	0.16	0	0.0	0	0.0	0.00%	54.45
Skippable in-stream	VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025.	22419253848	98	262,937	0.04%	4.55	1.7	99,931	0.0	24	18.59	0.02%	446.3
In-feed	VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025.	22419253848	25	725,007	0.00%	7.6	0.26	9,680	0.02	10	19.01	0.07%	190.1
Bumper	VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025.	22419253848	1,176	1,015,255	0.12%	1.07	1.24	0	0.0	8.11	155.47	0.69%	1260.11
Shorts	VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025.	22419253848	270	190,801	0.14%	0.39	0.55	4,560	0.02	29.01	3.62	0.25%	104.9
Skippable in-stream	Awareness_CPM_Croatia_YouTube_Hidra_EquityI-YT-April-July2025	22418606613	3,660	2,178,644	0.17%	1.1	1.85	568,451	0.01	0	0.0	0.00%	4034.67
In-feed	Awareness_CPM_Croatia_YouTube_Hidra_EquityI-YT-April-July2025	22418606613	11	595,202	0.00%	29.53	0.55	27,002	0.01	0	0.0	0.00%	324.87
Shorts	Awareness_CPM_Croatia_YouTube_Hidra_EquityI-YT-April-July2025	22418606613	3,409	2,235,116	0.15%	0.39	0.6	41,672	0.03	0	0.0	0.00%	1339.85
Skippable in-stream	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_1.4.-30.5.	22401314099	120	255,648	0.05%	3.56	1.67	87,617	0.0	19	22.5	0.02%	427.53
In-feed	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_1.4.-30.5.	22401314099	26	686,858	0.00%	7.39	0.28	13,013	0.01	6	32.04	0.03%	192.23
Bumper	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_1.4.-30.5.	22401314099	1,804	1,425,541	0.13%	0.87	1.11	0	0.0	13.45	117.23	0.75%	1577.17
Shorts	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_1.4.-30.5.	22401314099	485	499,370	0.10%	0.63	0.61	6,979	0.04	50	6.09	0.44%	304.37
Skippable in-stream	fungilac_march_2025_youtube_fc_cpm	22397772365	6,685	3,827,415	0.17%	1.0	1.75	1,304,796	0.01	5	1339.72	0.00%	6698.58
Bumper	Zott Jogobella Mar - Apr 2025 (YT) - Bumper - CPM	22364179833	629	590,504	0.11%	1.27	1.36	0	0.0	0	0.0	0.00%	800.35
Skippable in-stream	Zott Jogobella Mar - Apr 2025 (YT) - TrueView - CPV	22364175495	342	544,941	0.06%	4.57	2.87	382,770	0.0	0	0.0	0.00%	1564.32
In-feed	Zott Jogobella Mar - Apr 2025 (YT) - TrueView - CPV	22364175495	17	295,269	0.01%	8.01	0.46	17,273	0.01	0	0.0	0.00%	136.19
Skippable in-stream	reflustat_march_2025_youtube_fc_cpm	22357797015	1,763	2,398,975	0.07%	2.8	2.06	838,617	0.01	1	4944.31	0.00%	4944.31
Bumper	reflustat_march_2025_youtube_fc_cpm	22357797015	4,143	3,968,427	0.10%	1.23	1.29	0	0.0	1	5103.31	0.02%	5103.31
Skippable in-stream	McDonald's_Triple cheeseburger_March_2025 (YT) - Bumper	22331816158	23	11,930	0.19%	1.04	2.01	10,934	0.0	30.13	0.8	0.28%	23.96
Skippable in-stream	McDonald's_Triple cheeseburger_March_2025  (YT) - CPV	22328128277	29	16,911	0.17%	1.64	2.81	10,365	0.0	17.13	2.78	0.15%	47.53
Skippable in-stream	McDonald's_Coffee_I_March_2025 (YT) - CPV	22324505909	46	17,803	0.26%	1.11	2.88	8,486	0.01	23.84	2.15	0.24%	51.19
In-feed	McDonald's_Coffee_I_March_2025 (YT) - Bumper	22324496873	2	92,853	0.00%	14.4	0.31	1,672	0.02	5	5.76	0.29%	28.8
Bumper	McDonald's_Coffee_I_March_2025 (YT) - Bumper	22324496873	39	57,010	0.07%	1.89	1.29	0	0.0	9	8.19	23.08%	73.71
Skippable in-stream	VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.	22306114256	967	588,121	0.16%	0.85	1.4	144,416	0.01	85.09	9.67	0.04%	822.52
In-feed	VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.	22306114256	4	73,568	0.01%	4.63	0.25	1,440	0.01	0	0.0	0.00%	18.52
Shorts	VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.	22306114256	452	328,516	0.14%	0.35	0.49	5,372	0.03	71.92	2.22	0.63%	159.48
